1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,99_x,99_y
287.5,112.5,287.5,137.5,287.5,162.5,287.5,187.5,262.5,112.5,262.5,137.5,262.5,162.5,262.5,187.5,237.5,112.5,237.5,137.5,237.5,162.5,237.5,187.5,62.5,112.5,62.5,137.5,62.5,162.5,62.5,187.5,150,150
312.5,112.5,312.5,137.5,312.5,162.5,312.5,187.5,287.5,112.5,262.5,112.5,262.5,187.5,287.5,187.5,237.5,112.5,237.5,137.5,237.5,162.5,237.5,187.5,62.5,112.5,62.5,137.5,62.5,162.5,62.5,187.5,150,150
337.5,112.5,337.5,137.5,337.5,162.5,337.5,187.5,312.5,87.5,287.5,112.5,287.5,187.5,312.5,212.5,262.5,112.5,237.5,112.5,237.5,187.5,262.5,187.5,87.5,112.5,87.5,137.5,87.5,162.5,87.5,187.5,175,150
362.5,112.5,362.5,137.5,362.5,162.5,362.5,187.5,337.5,87.5,312.5,87.5,312.5,212.5,337.5,212.5,287.5,112.5,262.5,112.5,262.5,187.5,287.5,187.5,137.5,112.5,137.5,137.5,137.5,162.5,137.5,187.5,200,150
387.5,112.5,387.5,137.5,387.5,162.5,387.5,187.5,362.5,87.5,337.5,87.5,337.5,212.5,362.5,212.5,312.5,87.5,287.5,112.5,287.5,187.5,312.5,212.5,162.5,112.5,162.5,137.5,162.5,162.5,162.5,187.5,225,150
412.4,112.5,412.4,137.5,412.4,162.5,412.4,187.5,387.5,87.5,362.5,87.5,362.5,212.5,387.5,212.5,337.5,87.5,312.5,87.5,312.5,212.5,337.5,212.5,187.5,112.5,187.5,137.5,187.5,162.5,187.5,187.5,250,150
687.4,112.5,687.4,137.5,687.4,162.5,687.4,187.5,387.5,87.5,362.5,87.5,362.5,212.5,387.5,212.5,337.5,87.5,312.5,87.5,312.5,212.5,337.5,212.5,375,112.5,375,137.5,375,162.5,375,187.5,600,150
687.4,112.5,687.4,137.5,687.4,162.5,687.4,187.5,412.5,112.5,387.5,87.5,387.5,212.5,412.5,187.5,362.5,87.5,337.5,87.5,337.5,212.5,362.5,212.5,375,112.5,375,137.5,375,162.5,375,187.5,600,150
687.4,112.5,687.4,137.5,687.4,162.5,687.4,187.5,437.5,112.5,412.5,112.5,412.5,187.5,437.5,187.5,387.5,87.5,362.5,87.5,362.5,212.5,387.5,212.5,375,112.5,375,137.5,375,162.5,375,187.5,600,150
687.4,112.5,687.4,137.5,687.4,162.5,687.4,187.5,462.5,112.5,437.5,112.5,437.5,187.5,462.5,187.5,412.5,112.5,387.5,87.5,387.5,212.5,412.5,187.5,375,112.5,375,137.5,375,162.5,375,187.5,600,150
687.4,112.5,687.4,137.5,687.4,162.5,687.4,187.5,487.5,112.5,462.5,112.5,462.5,187.5,487.5,187.5,437.5,112.5,412.5,112.5,412.5,187.5,437.5,187.5,375,112.5,375,137.5,375,162.5,375,187.5,600,150
687.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,562.5,112.5,487.5,112.5,487.5,187.5,537.5,112.5,462.5,112.5,437.5,112.5,437.5,187.5,462.5,187.5,412.5,112.5,412.5,137.5,412.5,162.5,412.5,187.5,600,162.5
687.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,612.5,112.5,562.5,112.5,537.5,112.5,587.5,112.5,487.5,112.5,462.5,112.5,462.5,187.5,487.5,187.5,437.5,112.5,437.5,137.5,437.5,162.5,437.5,187.5,600,162.5
687.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,662.5,112.5,612.5,112.5,587.5,112.5,637.5,112.5,562.5,112.5,512.5,112.5,487.5,112.5,537.5,112.5,437.5,112.5,437.5,137.5,437.5,162.5,437.5,187.5,600,162.5
787.5,112.5,762.5,137.5,737.5,162.5,712.5,187.5,762.5,112.5,712.5,112.5,687.5,112.5,737.5,112.5,662.5,112.5,612.5,112.5,587.5,112.5,637.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,137.5,762.5,137.5,737.5,162.5,712.5,187.5,787.5,112.5,737.5,112.5,712.5,112.5,762.5,112.5,687.5,112.5,637.5,112.5,612.5,112.5,662.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,162.5,762.5,162.5,737.5,162.5,712.5,187.5,787.5,137.5,762.5,112.5,737.5,112.5,787.5,112.5,712.5,112.5,662.5,112.5,637.5,112.5,687.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,787.5,162.5,787.5,112.5,762.5,112.5,787.5,137.5,737.5,112.5,687.5,112.5,662.5,112.5,712.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,212.5,762.5,212.5,737.5,212.5,712.5,212.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,687.5,112.5,737.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,212.5,737.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600,162.5
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,662.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,737.5,162.5
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,662.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,687.5,137.5,712.5,137.5,712.5,162.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,737.5,137.5,762.5,137.5,737.5,162.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,762.5,137.5,762.5,162.5,737.5,162.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,212.5,787.5,162.5,787.5,137.5,787.5,187.5,787.5,112.5,737.5,112.5,712.5,462.5,762.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,237.5,787.5,187.5,787.5,162.5,787.5,212.5,787.5,137.5,762.5,112.5,712.5,462.5,787.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,262.5,787.5,212.5,787.5,187.5,787.5,237.5,787.5,162.5,787.5,112.5,712.5,462.5,787.5,137.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,287.5,787.5,237.5,787.5,212.5,787.5,262.5,787.5,187.5,787.5,137.5,712.5,462.5,787.5,162.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,312.5,787.5,262.5,787.5,237.5,787.5,287.5,787.5,212.5,787.5,162.5,712.5,462.5,787.5,187.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,337.5,787.5,287.5,787.5,262.5,787.5,312.5,787.5,237.5,787.5,187.5,712.5,462.5,787.5,212.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,737.5,300
